year,month,month_num,epi_week,region,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean
2016,January,1,1,Punjab,70,0,15.575714285714286,40.79857142857143,0.05,2.2885714285714287
2016,January,1,2,Punjab,90,1,14.078571428571427,46.41571428571428,6.53,2.097142857142857
2016,January,1,3,Punjab,90,0,12.247142857142858,31.330000000000002,0.0,1.967142857142857
2016,January,1,4,Punjab,70,0,14.12142857142857,46.512857142857136,12.92,2.2842857142857143
2016,February,2,5,Punjab,67,0,14.468571428571428,36.37571428571429,0.05,2.6014285714285714
2016,February,2,6,Punjab,73,0,14.64,42.951428571428565,0.8700000000000001,2.4528571428571433
2016,February,2,7,Punjab,73,0,16.514285714285712,42.37571428571429,6.88,2.6714285714285713
2016,February,2,8,Punjab,67,0,20.135714285714283,26.50857142857143,0.0,2.257142857142857
2016,March,3,9,Punjab,39,0,22.535714285714285,39.09142857142857,3.74,2.1457142857142855
2016,March,3,10,Punjab,59,0,21.830000000000002,51.72714285714286,20.85,2.0742857142857143
2016,March,3,11,Punjab,58,0,21.93857142857143,49.87285714285714,7.28,2.527142857142857
2016,March,3,12,Punjab,39,0,22.472857142857144,38.66142857142857,2.29,3.927142857142857
2016,April,4,14,Punjab,35,0,26.49857142857143,34.56285714285714,0.82,3.2271428571428573
2016,April,4,15,Punjab,41,0,30.32857142857143,27.359999999999996,0.48000000000000004,3.5985714285714288
2016,April,4,16,Punjab,40,0,30.237142857142857,22.90285714285714,1.94,3.9714285714285715
2016,April,4,17,Punjab,34,0,31.958571428571428,15.118571428571428,0.0,3.2128571428571426
2016,May,5,18,Punjab,40,0,33.934285714285714,22.787142857142857,0.55,2.782857142857143
2016,May,5,19,Punjab,50,1,36.17285714285715,20.888571428571428,4.41,3.011428571428571
2016,May,5,20,Punjab,50,0,38.544285714285714,13.724285714285713,0.0,3.2328571428571427
2016,May,5,21,Punjab,40,0,35.90714285714286,28.327142857142857,18.56,2.8771428571428572
2016,June,6,22,Punjab,60,0,37.0,28.59714285714286,3.31,2.8771428571428572
2016,June,6,23,Punjab,65,1,38.839999999999996,18.615714285714287,2.58,2.641428571428572
2016,June,6,24,Punjab,65,1,37.23857142857143,34.9,35.05,2.9214285714285713
2016,June,6,25,Punjab,60,0,36.089999999999996,41.521428571428565,36.779999999999994,2.004285714285714
2016,July,7,27,Punjab,119,0,36.23857142857143,45.47571428571428,24.05,1.4714285714285715
2016,July,7,28,Punjab,297,2,34.06285714285714,56.18285714285714,70.24000000000001,2.3242857142857143
2016,July,7,29,Punjab,299,2,34.332857142857144,50.11571428571428,25.14,1.9914285714285713
